1290232769865,22.320131063461304,114.17275965213776,1 ,11/20/2010 13:59:29
1290232772867,22.320147156715393,114.17276501655579,2 ,11/20/2010 13:59:32
1290232775886,22.320157885551453,114.17276501655579,2 ,11/20/2010 13:59:35
1290232897195,22.321118116378784,114.17220711708069,2 ,11/20/2010 14:01:37
1290232900203,22.321128845214844,114.17218565940857,2 ,11/20/2010 14:01:40
1290232903208,22.321128845214844,114.17216420173645,2 ,11/20/2010 14:01:43
1290232906216,22.32118785381317,114.17215347290039,2 ,11/20/2010 14:01:46
1290232909220,22.32118785381317,114.17214810848236,2 ,11/20/2010 14:01:49
1290232912226,22.32120931148529,114.1721373796463,2 ,11/20/2010 14:01:52
1290232915235,22.321284413337708,114.17214274406433,2 ,11/20/2010 14:01:55
1290232921246,22.32145607471466,114.17223393917084,2 ,11/20/2010 14:02:01
1290232924258,22.32148289680481,114.17221784591675,2 ,11/20/2010 14:02:04
1290232927262,22.321525812149048,114.17220711708069,2 ,11/20/2010 14:02:07
1290232930391,22.321552634239197,114.1722822189331,2 ,11/20/2010 14:02:10
1290232933640,22.321627736091614,114.17229294776917,2 ,11/20/2010 14:02:13
1290232936646,22.321665287017822,114.17228758335114,2 ,11/20/2010 14:02:16
1290232939666,22.32170820236206,114.17228758335114,2 ,11/20/2010 14:02:19
1290232942671,22.32172966003418,114.17228758335114,2 ,11/20/2010 14:02:22
1290233165156,22.332340478897095,114.17697608470917,1 ,11/20/2010 14:06:05
1290233168161,22.33272135257721,114.17700827121735,1 ,11/20/2010 14:06:08
1290233171176,22.333096861839294,114.17692244052887,2 ,11/20/2010 14:06:11
1290233174181,22.33344554901123,114.1768741607666,2 ,11/20/2010 14:06:14
1290233177188,22.333821058273315,114.1768366098404,2 ,11/20/2010 14:06:17
1290233180192,22.33393907546997,114.17683124542236,2 ,11/20/2010 14:06:20
1290233183197,22.334588170051575,114.17673468589783,2 ,11/20/2010 14:06:23
1290233186204,22.335044145584106,114.17667031288147,2 ,11/20/2010 14:06:26
1290233189250,22.33547866344452,114.17660057544708,2 ,11/20/2010 14:06:29
1290233192263,22.335827350616455,114.17647182941437,2 ,11/20/2010 14:06:32
1290233198273,22.336546182632446,114.17617678642273,2 ,11/20/2010 14:06:38
1290233201278,22.336889505386353,114.17601585388184,2 ,11/20/2010 14:06:41
1290233204286,22.33694851398468,114.17596757411957,2 ,11/20/2010 14:06:44
1290233763580,22.388066053390503,114.19189453125,2 ,11/20/2010 14:16:03
1290233766584,22.388307452201843,114.19213593006134,2 ,11/20/2010 14:16:06
1290233769589,22.388843894004822,114.19268310070038,1 ,11/20/2010 14:16:09
1290233796625,22.39165484905243,114.19584810733795,1 ,11/20/2010 14:16:36
1290233799630,22.391960620880127,114.19606804847717,2 ,11/20/2010 14:16:39
1290233802635,22.392271757125854,114.19633626937866,2 ,11/20/2010 14:16:42
1290233805645,22.39259362220764,114.19656157493591,2 ,11/20/2010 14:16:45
1290233989073,22.407029271125793,114.21057879924774,2 ,11/20/2010 14:19:49
1290233992149,22.40735113620758,114.21087920665741,2 ,11/20/2010 14:19:52
1290233995152,22.407667636871338,114.2110937833786,2 ,11/20/2010 14:19:55
1290233998165,22.408016324043274,114.2112010717392,2 ,11/20/2010 14:19:58
1290234004174,22.40857422351837,114.21129763126373,2 ,11/20/2010 14:20:04
1290234067268,22.41387963294983,114.21020328998566,2 ,11/20/2010 14:21:07
1290234070273,22.413906455039978,114.21018719673157,2 ,11/20/2010 14:21:10
1290234073277,22.413933277130127,114.2101925611496,2 ,11/20/2010 14:21:13
1290234079294,22.413992285728455,114.21020328998566,2 ,11/20/2010 14:21:19
1290234082299,22.413986921310425,114.21022474765778,2 ,11/20/2010 14:21:22
1290234085306,22.414003014564514,114.21021938323975,2 ,11/20/2010 14:21:25
1290234088312,22.414045929908752,114.2101925611496,2 ,11/20/2010 14:21:28
1290234091322,22.41406738758087,114.21017110347748,2 ,11/20/2010 14:21:31
1290234094339,22.41407811641693,114.21015501022339,2 ,11/20/2010 14:21:34
1290234097365,22.4141263961792,114.21006917953491,2 ,11/20/2010 14:21:37
1290234100377,22.414153218269348,114.21002089977264,2 ,11/20/2010 14:21:40
1290234103500,22.414169311523438,114.21001553535461,2 ,11/20/2010 14:21:43
1290234106506,22.414201498031616,114.2099404335022,2 ,11/20/2010 14:21:46
1290234109517,22.414255142211914,114.2099404335022,2 ,11/20/2010 14:21:49
1290234112531,22.414239048957825,114.2100477218628,2 ,11/20/2010 14:21:52
1290234115544,22.414255142211914,114.21004235744476,2 ,11/20/2010 14:21:55
1290234118597,22.414260506629944,114.210085272789,1 ,11/20/2010 14:21:58
1290234121603,22.41431415081024,114.21009600162506,2 ,11/20/2010 14:22:01
1290234124608,22.414292693138123,114.21006381511688,2 ,11/20/2010 14:22:04
1290234127612,22.41433560848236,114.210085272789,2 ,11/20/2010 14:22:07
1290234130617,22.41431415081024,114.21009600162506,2 ,11/20/2010 14:22:10
1290234175745,22.4143248796463,114.21005845069885,2 ,11/20/2010 14:22:55
1290234232973,22.4143248796463,114.21005845069885,2 ,11/20/2010 14:23:52
1290234235986,22.4143248796463,114.21005845069885,2 ,11/20/2010 14:23:55
1290234238991,22.4143248796463,114.21005845069885,2 ,11/20/2010 14:23:58
1290234242005,22.4143248796463,114.21005845069885,2 ,11/20/2010 14:24:02
1290234245019,22.4143248796463,114.21005845069885,1 ,11/20/2010 14:24:05
1290234248026,22.41434633731842,114.21006917953491,2 ,11/20/2010 14:24:08
